Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total TCP Flow Time,Label
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2024-11-07 02:40:56.193128,0,1,0,300.0,0.0,300.0,300.0,300.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0,0.0,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
192.168.175.102-192.168.175.43-50563-80-6,192.168.175.102,50563,192.168.175.43,80,6,2024-11-07 02:41:27.297366,122494,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,37079.36715267687,106.12764706842783,10207.833333333334,28998.084603934956,100873.0,0.0,122481.0,20413.5,40089.02450671505,100873.0,0.0,122478.0,24495.6,43493.86812873741,101195.0,395.0,1,2,0,0,0,0,152,132,57.14565611376884,48.981990954659004,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,122494,NeedManualLabel
192.168.175.102-192.168.175.43-50628-80-6,192.168.175.102,50628,192.168.175.43,80,6,2024-11-07 02:41:28.764285,322136,7,6,260.0,4463.0,260.0,0.0,37.142857142857146,98.27076298239909,4086.0,0.0,743.8333333333334,1644.2503965840076,14661.509424590857,40.355626195147394,26844.66666666667,66468.06516506914,216505.0,0.0,322035.0,53672.5,90197.17478890345,218156.0,0.0,322122.0,64424.4,95626.51796337667,216505.0,629.0,1,2,0,0,0,0,152,132,21.72995256661783,18.625673628529565,0.0,4086.0,363.3076923076923,1125.063804458469,1265768.564102564,2,2,0,3,12,0,0,0,0.8571428571428571,363.3076923076923,37.142857142857146,743.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,322136,NeedManualLabel
192.168.175.102-192.168.175.43-50481-80-6,192.168.175.102,50481,192.168.175.43,80,6,2024-11-07 02:41:25.268234,393148,7,6,214.0,4521.0,214.0,0.0,30.57142857142857,80.88439722397463,4086.0,0.0,753.5,1641.8311423529522,12043.810473409505,33.06642791010001,32762.33333333333,82087.54015665043,272053.0,0.0,393108.0,65518.0,111390.73144027738,273506.0,0.0,392643.0,78528.6,118596.01583864442,272053.0,715.0,1,2,0,0,0,0,152,132,17.804999643900008,15.261428266200006,0.0,4086.0,364.2307692307692,1125.6769928837014,1267148.6923076925,2,2,0,3,12,0,0,0,0.8571428571428571,364.2307692307692,30.571428571428573,753.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,393148,NeedManualLabel
192.168.175.102-192.168.175.43-50614-80-6,192.168.175.102,50614,192.168.175.43,80,6,2024-11-07 02:41:28.582158,118589,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,38300.34826164316,109.6223089831266,9882.416666666666,29744.10413834016,103740.0,0.0,118548.0,19757.999999999996,41450.026620015575,103740.0,0.0,118536.0,23707.2,45199.81129606627,104113.0,367.0,1,2,0,0,0,0,152,132,59.02739714476048,50.59491183836612,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,118589,NeedManualLabel
192.168.175.102-192.168.175.43-50633-80-6,192.168.175.102,50633,192.168.175.43,80,6,2024-11-07 02:41:28.836550,122784,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,36991.79046129789,105.87698722960646,10232.0,29607.396394697178,103221.0,0.0,122638.0,20439.666666666668,41100.69769075297,103221.0,0.0,122750.0,24550.0,44701.16653399551,103734.0,1006.0,1,2,0,0,0,0,152,132,57.01068543132656,48.866301798279906,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,122784,NeedManualLabel
192.168.175.102-192.168.175.43-50575-80-6,192.168.175.102,50575,192.168.175.43,80,6,2024-11-07 02:41:27.624835,358370,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,12674.051957474117,36.275357870357446,29864.166666666664,83813.95065027098,293650.0,0.0,358134.0,59689.0,116696.47554232305,293650.0,0.0,358345.0,71669.0,134204.3760836434,310225.0,909.0,1,2,0,0,0,0,152,132,19.53288500711555,16.7424728632419,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,358370,NeedManualLabel
192.168.175.102-192.168.175.43-50462-80-6,192.168.175.102,50462,192.168.175.43,80,6,2024-11-07 02:41:25.749616,201905,7,6,88.0,4454.0,88.0,0.0,12.571428571428573,33.26087362481199,4019.0,0.0,742.3333333333333,1614.6351497061703,22495.728188999776,64.38671652509844,16825.41666666667,31728.46755735106,100598.0,0.0,201717.0,33619.5,41067.646179200485,100598.0,0.0,201834.0,40366.8,43923.03611659831,106927.0,390.0,1,2,0,0,0,0,152,132,34.66977043659146,29.716946088506973,0.0,4019.0,349.38461538461536,1109.1447559915657,1230202.08974359,2,2,0,3,12,0,0,0,0.8571428571428571,349.38461538461536,12.571428571428571,742.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,201905,NeedManualLabel
192.168.175.102-192.168.175.43-50520-80-6,192.168.175.102,50520,192.168.175.43,80,6,2024-11-07 02:41:26.349110,543747,7,6,259.0,4463.0,259.0,0.0,37.0,97.89279850938985,4086.0,0.0,743.8333333333334,1644.2503965840076,8684.185843783966,23.908177884199823,45312.25,123527.5829279547,422679.0,0.0,543685.0,90614.16666666666,169819.88106157258,423827.0,0.0,543727.0,108745.4,182696.2225589243,422679.0,510.0,1,2,0,0,0,0,152,132,12.873634245338366,11.034543638861456,0.0,4086.0,363.2307692307692,1125.0714906059789,1265785.858974359,2,2,0,3,12,0,0,0,0.8571428571428571,363.2307692307692,37.0,743.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,543747,NeedManualLabel
192.168.175.102-192.168.175.43-50476-80-6,192.168.175.102,50476,192.168.175.43,80,6,2024-11-07 02:41:25.058415,196322,7,6,88.0,3823.0,88.0,0.0,12.571428571428573,33.26087362481199,3487.0,0.0,637.1666666666667,1402.5816791426682,19921.353694440764,66.21774431800817,16360.166666666668,34290.7576014119,106292.0,0.0,196250.0,32708.33333333333,44534.480976729326,106292.0,0.0,196291.0,39258.2,47349.54084993855,107769.0,572.0,1,2,0,0,0,0,152,132,35.65570847892748,30.562035839080693,0.0,3487.0,300.84615384615387,961.9078131638403,925266.6410256414,2,2,0,3,12,0,0,0,0.8571428571428571,300.84615384615387,12.571428571428571,637.1666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,1,2,20,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,196322,NeedManualLabel
